Dataset Name,Algorithm Name,Cross Validation,Hyperparameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
cardiotocography-3clases,VAT,5,"{'net__criterion__VAT_eps': 1.0093909523850941, 'net__criterion__alpha': 1.17781653679623, 'net__lr': 0.002773078934602432}",0.8826291079812206,0.7430976430976431,0.0911955303348746,0.7680388219544846,0.9378731762065096,0.9612738926211034,105s,46876ms
cardiotocography-3clases,VAT,6,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.9107981220657277,0.7654603086676207,0.10296595428417815,0.8759507912050285,0.9399129083383341,0.9739707576126766,106s,46875ms
cardiotocography-3clases,VAT,7,"{'net__criterion__VAT_eps': 1.4461632652812366, 'net__criterion__alpha': 1.452749011516985, 'net__lr': 0.0045265412483145116}",0.8915094339622641,0.7302638546070691,0.12281923351060914,0.8091040761431824,0.947206676605,0.969870101876816,108s,62499ms
cardiotocography-3clases,VAT,8,"{'net__criterion__VAT_eps': 1.0093909523850941, 'net__criterion__alpha': 1.17781653679623, 'net__lr': 0.002773078934602432}",0.9056603773584906,0.7959505364256213,0.06864289587026579,0.8066287878787879,0.9400991389493063,0.9712416498204224,108s,46875ms
cardiotocography-3clases,VAT,9,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.9150943396226415,0.7904803799376005,0.0923485083855718,0.8762412924262636,0.9661159852391309,0.9786401297029685,105s,46876ms
cardiotocography-3clases,VAT,10,"{'net__criterion__VAT_eps': 1.5922803950442899, 'net__criterion__alpha': 0.618727718954244, 'net__lr': 0.003248033476000363}",0.8820754716981132,0.7072753488599428,0.13188710394697564,0.7772486772486773,0.9377326751223962,0.964647063025744,91s,46874ms
congressional-voting,VAT,1,"{'net__criterion__VAT_eps': 2.432654408237131, 'net__criterion__alpha': 0.7894060929472011, 'net__lr': 0.0019135944838704567}",0.5909090909090909,0.0,0.037037037037037035,0.3023255813953488,0.5718954248366013,0.645373207100423,21s,15626ms
congressional-voting,VAT,2,"{'net__criterion__VAT_eps': 1.1921968157879261, 'net__criterion__alpha': 1.4764594650133958, 'net__lr': 0.004739646896312246}",0.6363636363636364,0.17647058823529413,0.07407407407407407,0.6205128205128205,0.696078431372549,0.7362574230050294,21s,41837ms
congressional-voting,VAT,3,"{'net__criterion__VAT_eps': 2.6123879780921717, 'net__criterion__alpha': 1.2038885835403663, 'net__lr': 0.0010922461843917812}",0.5454545454545454,0.058823529411764705,0.14814814814814814,0.3948717948717949,0.6557734204793029,0.6931424219558906,20s,46874ms
congressional-voting,VAT,4,"{'net__criterion__VAT_eps': 2.450508559639281, 'net__criterion__alpha': 1.0013243819267021, 'net__lr': 0.009565227983759916}",0.6136363636363636,0.11764705882352941,0.07407407407407407,0.5625,0.681917211328976,0.7220413391692649,20s,62500ms
congressional-voting,VAT,5,"{'net__criterion__VAT_eps': 2.224191445444843, 'net__criterion__alpha': 1.116933996874757, 'net__lr': 0.00944310597729478}",0.6818181818181818,0.29411764705882354,0.07407407407407407,0.6949806949806949,0.6710239651416122,0.6852100338432621,20s,78124ms
congressional-voting,VAT,6,"{'net__criterion__VAT_eps': 2.432654408237131, 'net__criterion__alpha': 0.7894060929472011, 'net__lr': 0.0019135944838704567}",0.5581395348837209,0.11764705882352941,0.15384615384615385,0.463963963963964,0.66289592760181,0.6456587974771368,19s,60044ms
congressional-voting,VAT,7,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.6046511627906976,0.8235294117647058,0.5384615384615384,0.65,0.6719457013574661,0.6979540189440864,19s,62501ms
congressional-voting,VAT,8,"{'net__criterion__VAT_eps': 1.529111224209254, 'net__criterion__alpha': 1.2742336894342166, 'net__lr': 0.004615888288943831}",0.6744186046511628,0.29411764705882354,0.07692307692307693,0.6904761904761905,0.7352941176470589,0.7821280310297167,19s,125001ms
