Dataset Name,Algorithm Name,Cross Validation,Hyperparameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
waveform,VAT,1,"{'net__criterion__VAT_eps': 2.953522176380674, 'net__criterion__alpha': 1.104845519745046, 'net__lr': 0.0074187094360431876}",0.858,0.8578728461081403,0.0709633649932157,0.8597515451235501,0.9618288049838852,0.9209748116436074,248s,28034ms
waveform,VAT,2,"{'net__criterion__VAT_eps': 2.692817344942256, 'net__criterion__alpha': 1.1994792753175043, 'net__lr': 0.0030446258134658234}",0.858,0.8583481877599525,0.0708126036484245,0.8617146755902357,0.9736894794648804,0.9444434104098248,250s,46875ms
waveform,VAT,3,"{'net__criterion__VAT_eps': 2.39526239185453, 'net__criterion__alpha': 0.5602254716292698, 'net__lr': 0.006700990482912111}",0.852,0.851574569221628,0.0741293532338308,0.8537251247190395,0.9683020940240192,0.9370542727525673,254s,46875ms
waveform,VAT,4,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.856,0.8564017908074191,0.0718236686799561,0.8584912671869193,0.9712708797888828,0.944016664814351,246s,47967ms
waveform,VAT,5,"{'net__criterion__VAT_eps': 2.341275739236319, 'net__criterion__alpha': 0.7103825610738409, 'net__lr': 0.0013763703467830478}",0.876,0.8760375792985428,0.0619157788319464,0.8784281923816808,0.9746500348596682,0.9477888086573524,251s,31248ms
waveform,VAT,6,"{'net__criterion__VAT_eps': 2.363640598206967, 'net__criterion__alpha': 0.859507900573786, 'net__lr': 0.004426616342613481}",0.872,0.8722822423121467,0.0638035617077533,0.8763741003647835,0.9759057031569608,0.948186954145171,249s,31251ms
waveform,VAT,7,"{'net__criterion__VAT_eps': 2.39526239185453, 'net__criterion__alpha': 0.5602254716292698, 'net__lr': 0.006700990482912111}",0.862,0.8620491649221954,0.068920930740764,0.8680239838352791,0.9703982507040896,0.939104391302576,247s,46874ms
waveform,VAT,8,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.828,0.8279352302521904,0.0860106544362688,0.8346503510694427,0.9654567345948256,0.9327994690654732,251s,46875ms
waveform,VAT,9,"{'net__criterion__VAT_eps': 2.889337834099168, 'net__criterion__alpha': 1.0218483217500718, 'net__lr': 0.004205153205906184}",0.868,0.8679532906595001,0.0659326609890648,0.869102564102564,0.9712265954619984,0.9415160803909786,249s,46875ms
waveform,VAT,10,"{'net__criterion__VAT_eps': 2.363640598206967, 'net__criterion__alpha': 0.859507900573786, 'net__lr': 0.004426616342613481}",0.862,0.8624386734674037,0.0688602683706852,0.8669014732965009,0.9734501210868216,0.9445036462136912,248s,47965ms
