Dataset Name,Algorithm Name,Cross Validation,Hyperparameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
blood,VAT,9,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.7972972972972973,0.23529411764705882,0.03508771929824561,0.7377450980392157,0.7812177502579979,0.8498023478583161,13s,25982ms
blood,VAT,10,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.7837837837837838,0.17647058823529413,0.03508771929824561,0.6985507246376812,0.6444788441692467,0.7880986172598137,13s,31978ms
breast-cancer-wisc-diag,VAT,1,"{'net__criterion__VAT_eps': 1.0093909523850941, 'net__criterion__alpha': 1.17781653679623, 'net__lr': 0.002773078934602432}",0.9649122807017544,0.9090909090909091,0.0,0.972972972972973,0.9714285714285714,0.9776284218791871,10s,31248ms
breast-cancer-wisc-diag,VAT,2,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.9824561403508771,0.9545454545454546,0.0,0.9861111111111112,0.990909090909091,0.9949359190294105,10s,31250ms
breast-cancer-wisc-diag,VAT,3,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",1.0,1.0,0.0,1.0,1.0,1.0,10s,31248ms
breast-cancer-wisc-diag,VAT,4,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.9824561403508771,0.9523809523809523,0.0,0.9864864864864865,1.0,0.9996948663249169,10s,28980ms
breast-cancer-wisc-diag,VAT,5,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.9824561403508771,0.9523809523809523,0.0,0.9864864864864865,0.9986772486772486,0.9990896309981432,10s,44967ms
breast-cancer-wisc-diag,VAT,6,"{'net__criterion__VAT_eps': 1.2709481284449005, 'net__criterion__alpha': 0.7982823259560308, 'net__lr': 0.005742652615942523}",0.9473684210526315,0.8571428571428571,0.0,0.9615384615384616,0.9933862433862435,0.9907857148880044,11s,27981ms
breast-cancer-wisc-diag,VAT,7,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.9824561403508771,0.9523809523809523,0.0,0.9864864864864865,1.0,0.9990896309981432,10s,15626ms
breast-cancer-wisc-diag,VAT,8,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.9649122807017544,1.0,0.05555555555555555,0.9565217391304348,0.9973544973544973,0.9940508717135323,10s,31248ms
breast-cancer-wisc-diag,VAT,9,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.9824561403508771,1.0,0.027777777777777776,0.9772727272727273,1.0,0.999694866324917,10s,15626ms
breast-cancer-wisc-diag,VAT,10,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.9642857142857143,0.9047619047619048,0.0,0.972972972972973,0.9931972789115646,0.992007557443832,10s,35975ms
breast-tissue,VAT,1,"{'net__criterion__VAT_eps': 1.4177535121896694, 'net__criterion__alpha': 0.6613095178849963, 'net__lr': 0.0065657724221074455}",0.45454545454545453,0.3333333333333333,0.1101851851851852,0.2111111111111111,0.8833333333333333,0.694395795303326,2s,26982ms
breast-tissue,VAT,2,"{'net__criterion__VAT_eps': 2.450508559639281, 'net__criterion__alpha': 1.0013243819267021, 'net__lr': 0.009565227983759916}",0.5454545454545454,0.5833333333333334,0.08888888888888889,0.5555555555555555,0.85,0.7153535484383223,2s,26982ms
breast-tissue,VAT,3,"{'net__criterion__VAT_eps': 2.627595639404954, 'net__criterion__alpha': 0.8965057408469846, 'net__lr': 0.0088229216514005}",0.7272727272727273,0.6666666666666666,0.05555555555555555,0.5666666666666667,0.8833333333333333,0.6570560775809862,2s,26980ms
breast-tissue,VAT,4,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.36363636363636365,0.3333333333333333,0.1259259259259259,0.2222222222222222,0.8666666666666667,0.5820239922875587,2s,29978ms
breast-tissue,VAT,5,"{'net__criterion__VAT_eps': 1.875174422525385, 'net__criterion__alpha': 1.3917730007820799, 'net__lr': 0.00964026132896019}",0.5454545454545454,0.5277777777777778,0.09074074074074073,0.47222222222222215,0.8972222222222223,0.5731237987159039,2s,30980ms
breast-tissue,VAT,6,"{'net__criterion__VAT_eps': 2.224191445444843, 'net__criterion__alpha': 1.116933996874757, 'net__lr': 0.00944310597729478}",0.7272727272727273,0.75,0.049999999999999996,0.7083333333333334,0.8583333333333333,0.7314125091637054,2s,35973ms
breast-tissue,VAT,7,"{'net__criterion__VAT_eps': 2.64198645969587, 'net__criterion__alpha': 0.5971012757930613, 'net__lr': 0.008395654584238159}",0.4,0.3333333333333333,0.125,0.375,0.9,0.6447905165010428,2s,26984ms
breast-tissue,VAT,8,"{'net__criterion__VAT_eps': 2.363640598206967, 'net__criterion__alpha': 0.859507900573786, 'net__lr': 0.004426616342613481}",0.6,0.5,0.08333333333333333,0.4166666666666667,0.9166666666666666,0.7570510958339904,2s,31249ms
breast-tissue,VAT,9,"{'net__criterion__VAT_eps': 2.450508559639281, 'net__criterion__alpha': 1.0013243819267021, 'net__lr': 0.009565227983759916}",0.4,0.4166666666666667,0.11805555555555554,0.2916666666666667,0.85,0.535107154772538,2s,15625ms
breast-tissue,VAT,10,"{'net__criterion__VAT_eps': 2.3042065400033778, 'net__criterion__alpha': 0.931418435433974, 'net__lr': 0.008975811298925523}",0.6,0.5833333333333334,0.0787037037037037,0.4166666666666667,0.9,0.6709792713916755,2s,15625ms
cardiotocography-10clases,VAT,1,"{'net__criterion__VAT_eps': 1.5922803950442899, 'net__criterion__alpha': 0.618727718954244, 'net__lr': 0.003248033476000363}",0.6807511737089202,0.5741831584308364,0.03883967243017723,0.6913026744944553,0.9565049104245821,0.7695485910233814,35s,26980ms
cardiotocography-10clases,VAT,2,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.7793427230046949,0.6903458175218611,0.026561163786004323,0.7962355212355213,0.9727510088767888,0.8753566631609164,36s,46876ms
cardiotocography-10clases,VAT,3,"{'net__criterion__VAT_eps': 1.0093909523850941, 'net__criterion__alpha': 1.17781653679623, 'net__lr': 0.002773078934602432}",0.7136150234741784,0.5361832559455064,0.035327598605954955,0.6893182328849669,0.9470180601858764,0.7792988821624044,36s,31249ms
cardiotocography-10clases,VAT,4,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.7605633802816901,0.6635468255277692,0.028816205222028983,0.7650229134805893,0.9644090246187571,0.803849080952203,36s,31250ms
cardiotocography-10clases,VAT,5,"{'net__criterion__VAT_eps': 1.0093909523850941, 'net__criterion__alpha': 1.17781653679623, 'net__lr': 0.002773078934602432}",0.7417840375586855,0.6200993773316823,0.030822041922098843,0.6864394217335394,0.9668216960345237,0.8266308493086706,36s,31251ms
cardiotocography-10clases,VAT,6,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.7230046948356808,0.5932192993536006,0.033095793475076254,0.7134874896024966,0.9520885465366677,0.77985785318437,35s,39972ms
cardiotocography-10clases,VAT,7,"{'net__criterion__VAT_eps': 1.0093909523850941, 'net__criterion__alpha': 1.17781653679623, 'net__lr': 0.002773078934602432}",0.75,0.6458405756373088,0.030479016497163298,0.6964117777099933,0.9658020605786038,0.8291571253362839,36s,46875ms
cardiotocography-10clases,VAT,8,"{'net__criterion__VAT_eps': 1.0093909523850941, 'net__criterion__alpha': 1.17781653679623, 'net__lr': 0.002773078934602432}",0.7264150943396226,0.6284527311768692,0.03308701158122914,0.766241099519788,0.971686119414855,0.7970412003137168,36s,33978ms
cardiotocography-10clases,VAT,9,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.7641509433962265,0.5643767554284795,0.028733374181835997,0.7294175944669365,0.9626115043413074,0.8135064235458198,35s,31250ms
cardiotocography-10clases,VAT,10,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.7169811320754716,0.6003343475321163,0.03530459585323377,0.7248537859724417,0.9617494464354168,0.7854615907282276,36s,46874ms
cardiotocography-3clases,VAT,1,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8873239436619719,0.7292929292929293,0.13024555135210875,0.8339031339031339,0.955763187429854,0.9638216507216375,35s,31250ms
cardiotocography-3clases,VAT,2,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.8450704225352113,0.6855218855218855,0.15176194479473168,0.7111312764670297,0.9059539842873177,0.9418603285772617,36s,31248ms
cardiotocography-3clases,VAT,3,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8685446009389671,0.6404040404040404,0.1533487459716968,0.8135701275045538,0.9260381593714927,0.9630103110250777,36s,46874ms
cardiotocography-3clases,VAT,4,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.8685446009389671,0.6461279461279461,0.1532366540563262,0.7874860646599777,0.9275028058361391,0.9630357057112311,35s,31250ms
cardiotocography-3clases,VAT,5,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8826291079812206,0.7306397306397306,0.11658610060249404,0.7845835854002824,0.9430190796857464,0.9559503298862265,35s,27979ms
cardiotocography-3clases,VAT,6,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.9061032863849765,0.737455569404053,0.10995596037224159,0.8596435222133546,0.9495299204480757,0.9731718455847655,35s,48966ms
cardiotocography-3clases,VAT,7,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.8726415094339622,0.6789185138118397,0.13564218311189088,0.7652755484216157,0.9277373184421255,0.9671548722948946,35s,31250ms
cardiotocography-3clases,VAT,8,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.8867924528301887,0.706660312650195,0.09729212737053079,0.7446093867146498,0.91465252490693,0.9643520613492161,35s,34974ms
cardiotocography-3clases,VAT,9,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8726415094339622,0.704631915084272,0.1626545071306297,0.8318250377073907,0.9547948385835431,0.9655242375176059,35s,31250ms
cardiotocography-3clases,VAT,10,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8820754716981132,0.7357340110950904,0.13731198713379753,0.8107573866000832,0.9358020316560358,0.9621636726095744,35s,46875ms
congressional-voting,VAT,1,"{'net__criterion__VAT_eps': 2.6123879780921717, 'net__criterion__alpha': 1.2038885835403663, 'net__lr': 0.0010922461843917812}",0.5909090909090909,0.0,0.037037037037037035,0.3023255813953488,0.5599128540305011,0.6315851579990374,8s,46874ms
congressional-voting,VAT,2,"{'net__criterion__VAT_eps': 2.2879803984592746, 'net__criterion__alpha': 0.9238550485581797, 'net__lr': 0.006103292819866452}",0.6590909090909091,0.23529411764705882,0.07407407407407407,0.6622807017543859,0.7396514161220044,0.7746500124060115,8s,15622ms
congressional-voting,VAT,3,"{'net__criterion__VAT_eps': 1.2365488517378664, 'net__criterion__alpha': 1.139921021327524, 'net__lr': 0.0015191975453495595}",0.5909090909090909,0.058823529411764705,0.07407407407407407,0.4715447154471545,0.5773420479302832,0.6906148718551959,8s,46879ms
congressional-voting,VAT,4,"{'net__criterion__VAT_eps': 2.8389652274893473, 'net__criterion__alpha': 1.2142412995491114, 'net__lr': 0.009988585365021879}",0.6136363636363636,0.0,0.0,0.3068181818181818,0.6514161220043573,0.7126070512212255,8s,55964ms
congressional-voting,VAT,5,"{'net__criterion__VAT_eps': 2.1625457452717174, 'net__criterion__alpha': 1.3817353618548527, 'net__lr': 0.006956062741769883}",0.5454545454545454,0.8823529411764706,0.6666666666666666,0.6363636363636364,0.644880174291939,0.6057849018472721,8s,25983ms
congressional-voting,VAT,6,"{'net__criterion__VAT_eps': 2.341275739236319, 'net__criterion__alpha': 0.7103825610738409, 'net__lr': 0.0013763703467830478}",0.5581395348837209,0.11764705882352941,0.15384615384615385,0.463963963963964,0.6742081447963801,0.7068863222972205,8s,40966ms
congressional-voting,VAT,7,"{'net__criterion__VAT_eps': 2.1625457452717174, 'net__criterion__alpha': 1.3817353618548527, 'net__lr': 0.006956062741769883}",0.6046511627906976,0.11764705882352941,0.07692307692307693,0.5576923076923077,0.6266968325791855,0.698300768722559,8s,25982ms
congressional-voting,VAT,8,"{'net__criterion__VAT_eps': 2.136867897737297, 'net__criterion__alpha': 0.5187898004363551, 'net__lr': 0.006214591421051184}",0.6744186046511628,0.29411764705882354,0.07692307692307693,0.6904761904761905,0.7352941176470589,0.7373744327195456,8s,15626ms
